,Analysis,Backdoor,DoS,Exploits,Fuzzers,Generic,Normal,Reconnaissance,Shellcode,Worms
Feature 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Feature 1,0.0010224784933490893,0.0013728739896574631,0.009263970988452117,0.020384178064615673,0.010845888843679163,0.0068164432059713755,0.039606444375905665,0.010184480332198478,0.0010710744484251562,0.00022945976759663106
Feature 2,0.007131808605050384,0.005828632301504299,0.03915498879881229,0.04166831355943015,0.01421609656510234,0.025561389671933544,0.055956038985056994,0.006527868860240343,0.0010675410013791706,0.00016061158953993796
Feature 3,0.00037399979640556906,0.0002712760714221848,0.0023335196838922758,0.0033636566308735466,0.000926734209193071,0.0006964236020189693,0.005255881753350811,0.0005270344006196592,7.667103490040864e-05,1.5121643740891959e-05
Feature 4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Feature 5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Feature 6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Feature 7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Feature 8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Feature 9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Feature 10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Feature 11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Feature 12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Feature 13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Feature 14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Feature 15,4.60759595586925e-05,9.404263672718554e-05,0.0002605923326613836,0.00025909643608284226,0.0004804233815355836,0.00029225919484022036,0.0005984267519909556,0.00018658800819945886,3.088915660964061e-05,5.629140477437565e-06
Feature 16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Feature 17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Feature 18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Feature 19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Feature 20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Feature 21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Feature 22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Feature 23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Feature 24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Feature 25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Feature 26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Feature 27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Feature 28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Feature 29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Feature 30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Feature 31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Feature 32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Feature 33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Feature 34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Feature 35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Feature 36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Feature 37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Feature 38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Feature 39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Feature 40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Feature 41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Feature 42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
